,hex_index2,Species,Annu_Mean_Temp,Annu_Prec
1128,82666ffffffffff,anteater,27.228541056315105,2724.0
1130,825f6ffffffffff,anteater,27.125437418619793,1933.0
1147,82441ffffffffff,anteater,22.423619224911643,1312.5
1148,828f77fffffffff,anteater,24.111419677734375,1973.0
1151,822837fffffffff,anteater,15.141087849934896,436.0
1152,8229a7fffffffff,anteater,17.875813802083332,278.0
1170,828bb7fffffffff,anteater,22.109212239583332,1524.0
1186,828baffffffffff,anteater,24.410558064778645,1628.0
1187,82814ffffffffff,anteater,24.49895731608073,1676.0
1188,82b24ffffffffff,anteater,17.4620361328125,769.0
1193,828b4ffffffffff,anteater,24.74695332845052,1730.0
1198,822917fffffffff,anteater,15.378512064615885,449.1111111111111
1216,82a957fffffffff,anteater,19.07318623860677,1678.0
1258,828a87fffffffff,anteater,26.701772054036457,1813.0
1259,828047fffffffff,anteater,27.047042846679688,2719.0
1273,826757fffffffff,anteater,28.094650692409942,563.3333333333334
1274,824527fffffffff,anteater,22.421249389648438,1547.0
1280,82b377fffffffff,anteater,14.666310628255209,302.0
1281,828a9ffffffffff,anteater,26.58941650390625,1743.0
1282,8266b7fffffffff,anteater,25.975494384765625,3237.0
1285,828117fffffffff,anteater,23.607284545898438,852.0
1291,828b97fffffffff,anteater,24.979766845703125,1493.0
1330,82dd5ffffffffff,anteater,,0.0
1333,82b35ffffffffff,anteater,19.957794189453125,547.0
1335,82b357fffffffff,anteater,7.325673421223958,85.0
1344,828b37fffffffff,anteater,25.634084065755207,768.0
1348,828b57fffffffff,anteater,26.233286539713543,1512.0
1354,828f2ffffffffff,anteater,24.888651529947918,1081.0
2,825f5ffffffffff,anteater,26.166920979817707,1897.0
55,82679ffffffffff,anteater,25.869192214239206,3386.5714285714284
63,8266a7fffffffff,anteater,26.077504475911457,2827.0
73,828a37fffffffff,anteater,24.782455444335938,1750.0
74,825f1ffffffffff,anteater,26.69948069254557,2268.625
75,82800ffffffffff,anteater,27.074483235677082,1764.0
78,828aeffffffffff,anteater,26.589324951171875,2255.0
79,828187fffffffff,anteater,24.37543418190696,1398.0
81,82819ffffffffff,anteater,25.72356669108073,1444.125
83,828a8ffffffffff,anteater,26.649790445963543,1909.0
97,828b27fffffffff,anteater,18.1312255859375,492.0
102,826d37fffffffff,anteater,20.889750162760418,2394.0
112,826d2ffffffffff,anteater,12.7440185546875,1321.0
134,828a67fffffffff,anteater,25.74285888671875,2258.0
160,82664ffffffffff,anteater,26.42981465657552,3286.0
161,822a17fffffffff,anteater,10.670206705729166,1139.0
162,824cd7fffffffff,anteater,26.24901835123698,1087.0
180,826617fffffffff,anteater,26.588887532552082,1746.0
188,828067fffffffff,anteater,26.274546305338543,1988.0
195,82662ffffffffff,anteater,28.604268391927082,1475.0
0,82c2dffffffffff,anteater,17.824264526367188,1222.0
2,828b5ffffffffff,anteater,24.89904276529948,1868.0
8,82a91ffffffffff,anteater,18.38017866346571,1574.1666666666667
49,828b87fffffffff,anteater,24.34240214029948,1937.0
50,828137fffffffff,anteater,23.017918904622395,783.0
56,82b26ffffffffff,anteater,19.713287353515625,845.0
79,82c2d7fffffffff,anteater,16.962478637695312,1194.0
81,82a887fffffffff,anteater,19.672632853190105,1085.0
104,82a897fffffffff,anteater,23.22947230483547,1239.4545454545455
153,82a92ffffffffff,anteater,17.92877197265625,1339.0
155,828b2ffffffffff,anteater,25.625167846679688,2118.0
175,82a89ffffffffff,anteater,22.555857340494793,925.0
196,828157fffffffff,anteater,24.368377685546875,992.0
211,82a967fffffffff,anteater,20.204518636067707,1171.0
212,828f6ffffffffff,anteater,25.938954671223957,2208.0
216,82a977fffffffff,anteater,19.309310913085938,1623.0
225,82a867fffffffff,anteater,24.255747477213543,1108.0
241,828037fffffffff,anteater,22.188090006510418,731.0
243,82a8b7fffffffff,anteater,23.604540506998696,1097.375
603,828057fffffffff,anteater,26.289468383789064,1671.2857142857142
606,828f47fffffffff,anteater,26.810312906901043,2122.0
649,824997fffffffff,anteater,13.969950358072916,752.0
656,82a827fffffffff,anteater,15.220769246419271,1440.0
670,82a837fffffffff,anteater,20.040990193684898,1691.5
863,828e6ffffffffff,anteater,10.107716878255209,656.0
924,82a90ffffffffff,anteater,18.316980997721355,1380.0
943,82804ffffffffff,anteater,26.714218139648438,2209.0
960,82a907fffffffff,anteater,19.311510490648672,1441.8181818181818
