hex_index,Annu_Mean_Temp,Annu_Prec,Species,index
812cfffffffffff,16.817850748697918,612.0,badger,RA
812d3ffffffffff,7.5224965413411455,573.0,badger,RA
812d7ffffffffff,10.087234497070312,543.0,badger,RA
812dbffffffffff,16.577667236328125,92.0,badger,RA
812e3ffffffffff,9.626980575280886,1285.5315841358913,badger,RA
812e7ffffffffff,12.677625728995366,1750.8814702308628,badger,RA
812efffffffffff,5.122865873582117,1036.5934065934066,badger,RA
812f7ffffffffff,15.038167347907375,1577.414974825402,badger,RA
81303ffffffffff,10.381067911783854,664.0,badger,RA
8130bffffffffff,14.022354125976562,907.0,badger,RA
8130fffffffffff,13.03905741373698,1178.0,badger,RA
81313ffffffffff,6.085789998372396,385.0,badger,RA
81317ffffffffff,-0.9032135009765624,826.0,badger,RA
8131bffffffffff,8.933125813802084,480.0,badger,RA
81383ffffffffff,16.29467264811198,256.0,badger,RA
81393ffffffffff,15.110875447591146,635.0,badger,RA
81397ffffffffff,12.564028730832588,743.5497515764043,badger,RA
8139bffffffffff,16.78931203695533,345.06786608972897,badger,RA
813c3ffffffffff,-3.3319803873697915,302.0,badger,RA
813cfffffffffff,21.24786885579427,2379.0,badger,RA
813dbffffffffff,25.39856465657552,858.0,badger,RA
813e7ffffffffff,20.857894897460938,4.0,badger,RA
813f3ffffffffff,16.246637288854448,645.778230737872,badger,RA
813f7ffffffffff,16.13263126144055,641.3008898776418,badger,RA
81403ffffffffff,16.368631998697918,1297.0,badger,RA
81407ffffffffff,15.826950073242188,816.0,badger,RA
8140bffffffffff,15.38611857096354,866.0,badger,RA
8140fffffffffff,6.802953084309896,765.0,badger,RA
81413ffffffffff,22.17814982733854,2029.644650616559,badger,RA
81417ffffffffff,22.94734584992145,1838.628755760369,badger,RA
8141bffffffffff,17.902313232421875,1685.0,badger,RA
81433ffffffffff,15.721872965494793,161.0,badger,RA
81483ffffffffff,21.803615305520385,767.4661583655147,badger,RA
81487ffffffffff,18.171565989619864,260.748171085992,badger,RA
8148bffffffffff,23.066970825195312,451.0,badger,RA
8148fffffffffff,16.610544840494793,241.0,badger,RA
8149bffffffffff,23.972559611002605,1078.0,badger,RA
814b7ffffffffff,15.901818942349676,2549.449571905384,badger,RA
814bbffffffffff,23.828328450520832,2205.0,badger,RA
8152bffffffffff,22.263081868489586,759.0,badger,RA
81543ffffffffff,29.9393310546875,165.0,badger,RA
8154fffffffffff,27.418352041913856,1695.799819952533,badger,RA
